"HolderAddress","Balance","PendingBalanceUpdate"
"0x00000000bb52bdec44c4e585be6df5d27e32f865","1E-18","No"
"0x00000000e8080db3ed60313725643d38bec42071","1E-18","No"
"0x00000000e895a1d37f0eb17c866168563e6f1904","298.13892067469","No"
"0x00000000f7b7d8a2974a129cbadd9f2f99c1ff80","1E-18","No"
"0x0000606ec42c2f4673b8a0e12c59451bfdcd8502","1E-18","No"
"0x001ebb710524004633f292092ee31c3e8f4ff7cb","685.763235","No"
"0x00218590be184f05c136e8a96b33a873ededee5c","456.722842897046","No"
"0x00452da0ec3ea9cb55bb15c9516d12c5a9e125fb","685.7496","No"
"0x00461efcc53ed57fcb8e3e7fcabd6e53d7dc4c0a","133333.33333","No"
"0x005202d060f11aed313155c47a7b67e564b711a9","13669","No"
"0x00525f7d6714043076e08d9e60a80d99924b6b79","1044.1503678329","No"
"0x0067de1be139e7dd861e878862d60b96e2a75403","8650","No"
"0x006ae14256a83db55381bf1f6073d49ecd352986","342.8816175","No"
"0x00b95c8cfee57f1af9f68d25a7435485e9e34c8a","10542.2535400967","No"
"0x00bd4a548f6f23c263ea21d76632af991dd18a4e","2229.61393406468","No"
"0x00bf64d4eb99027d12844242ae079fda98ff190b","30700.1988733457","No"
"0x00c18797c1ac99ef6b3981b7f32f57851d6ec36a","1122.78873430903","No"
"0x00c2dd69067b1a302ebbcb73fd734e7af9dcf9ea","602.309836053487","No"
"0x00c6083e50af89561109422bc7bc6e25921b9678","100.433620321985","No"
"0x00d09e092104304a0f779aa77ba1db559d30bf7e","289.136687883318","No"
"0x00e97175f9f4ce46979b55a14ac84d3ae1dd146d","1923.12862413378","No"
"0x00fc6377b38e6216fd3b747d9c961eb54243a554","0.528655035694828","No"
"0x01241de794b621bd476ccc73154f5d7daa3a4ce2","2.1468E-14","No"
"0x012a3e22d8d4e85318c888c8572fdc5bf2883356","319.562376739002","No"
"0x012b82c47049f9e0e35cd3bba6b0033c71010c08","11932.30665","No"
